date,min,max
1961-01,19.9,33.6
1961-02,18.9,32.4
1961-03,18.9,31.4
1961-04,18.8,31.8
1961-05,18.8,32.5
1961-06,18.6,30.4
1961-07,18.7,30.5
1961-08,18.9,30.7
1961-09,18.2,30.8
1961-10,19.2,30.6
1961-11,18.2,31.1
1961-12,17.3,30.8
1963-01,19.6,32.3
1963-02,18.6,32.8
1963-03,20.6,30.8
1963-04,19.8,30.8
1963-05,18.2,30.4
1963-06,18.8,31.2
1963-07,18.0,31.4
1963-08,18.2,30.8
1963-09,18.6,31.4
1963-10,19.0,31.7
1963-11,18.4,32.0
1963-12,19.2,31.2
1964-01,19.1,31.9
1964-02,19.0,32.2
1964-03,19.2,32.8
1964-04,19.1,32.6
1964-05,19.2,32.6
1964-06,18.0,32.9
1964-07,18.8,33.0
1964-08,19.2,31.2
1964-09,20.1,31.3
1964-10,19.5,30.8
1964-11,18.4,32.0
1964-12,18.3,31.3
1965-01,19.0,31.8
1965-02,16.9,30.6
1965-03,17.9,31.0
1965-04,18.6,30.2
1965-05,19.3,30.8
1965-06,19.7,30.3
1965-07,17.6,30.4
1965-08,18.6,30.5
1965-09,19.8,30.4
1965-10,20.2,31.2
1965-11,19.6,33.0
1965-12,19.0,30.6
1966-01,21.4,31.0
1966-02,21.3,30.8
1966-03,19.4,30.8
1966-04,19.4,30.6
1966-05,18.7,30.8
1966-06,18.9,30.6
1966-07,18.7,31.0
1966-08,18.7,31.0
1966-09,19.2,31.0
1966-10,19.6,31.0
1966-11,18.8,30.9
1966-12,20.0,31.4
1967-01,20.8,31.3
1967-02,20.7,31.4
1967-03,21.0,31.2
1967-04,20.7,31.6
1967-05,19.0,31.2
1967-06,19.6,31.6
1967-07,19.2,31.6
1967-08,18.6,31.5
1967-09,19.6,31.6
1967-10,18.6,31.4
1967-11,19.8,31.8
1967-12,19.6,31.4
1968-01,19.2,31.2
1968-02,17.6,31.8
1968-03,18.0,32.2
1968-04,18.2,31.8
1968-05,17.6,31.4
1968-06,17.0,30.8
1968-07,17.0,31.4
1968-08,18.8,32.0
1968-09,18.6,32.8
1968-10,18.9,31.4
1968-11,17.2,31.8
1968-12,18.2,32.6
1969-01,20.0,32.8
1969-02,20.2,32.2
1969-03,19.4,32.8
1969-04,19.0,34.8
1969-05,19.4,31.8
1969-06,19.6,32.1
1969-07,18.8,32.2
1969-08,15.0,32.2
1969-09,19.0,32.3
1969-10,19.2,32.4
1969-11,19.1,32.6
1969-12,18.8,32.8
1970-01,21.6,31.0
1970-02,19.9,31.0
1970-03,20.8,30.6
1970-04,19.8,30.4
1970-05,20.5,30.3
1970-06,20.0,30.4
1970-07,18.5,30.6
1970-08,19.6,30.5
1970-09,20.2,32.0
1970-10,20.4,30.3
1970-11,20.0,30.7
1970-12,20.7,31.8
1973-01,21.6,32.4
1973-02,21.6,32.6
1973-03,21.0,32.4
1973-04,20.0,32.0
1973-05,20.4,30.6
1973-06,20.1,30.9
1973-07,19.0,31.4
1973-08,19.2,32.0
1973-09,20.2,31.2
1973-10,20.3,31.6
1973-11,21.6,31.7
1973-12,19.6,32.0
1974-01,19.0,31.2
1974-02,19.2,30.6
1974-03,19.3,31.6
1974-04,18.4,31.1
1974-05,19.4,31.8
1974-06,19.0,31.4
1974-07,18.8,31.0
1974-08,18.8,31.2
1974-09,19.1,31.0
1974-10,19.2,32.0
1974-11,20.4,31.0
1974-12,20.0,31.2
1975-01,20.6,30.8
1975-02,20.4,31.4
1975-03,19.8,30.8
1975-04,19.2,31.6
1975-05,19.2,30.6
1975-06,20.0,31.0
1975-07,19.4,31.2
1975-08,17.2,30.8
1975-09,18.2,31.2
1975-10,20.0,31.0
1975-11,20.4,31.4
1975-12,21.8,31.2
1976-01,18.6,30.6
1976-02,19.6,30.2
1976-03,19.0,30.2
1976-04,19.6,29.8
1976-05,20.0,29.8
1976-06,18.8,29.8
1976-07,18.6,29.8
1976-08,18.8,30.0
1976-09,18.8,30.0
1976-10,19.0,30.2
1976-11,19.0,30.0
1976-12,19.2,30.4
1977-01,21.0,30.4
1977-02,20.8,31.6
1977-03,20.6,31.2
1977-04,20.0,30.4
1977-05,20.0,31.0
1977-06,20.8,31.0
1977-07,19.8,31.0
1977-08,20.0,31.0
1977-09,19.6,31.0
1977-10,20.8,31.0
1977-11,20.6,31.0
1977-12,19.6,31.2
1978-01,20.2,31.0
1978-02,21.0,31.2
1978-03,21.2,30.6
1978-04,21.0,30.6
1978-05,21.1,30.0
1978-06,20.2,30.4
1978-07,20.4,30.6
1978-08,19.4,30.2
1978-09,20.4,30.2
1978-10,20.6,31.0
1978-11,20.2,31.0
1978-12,20.6,30.2
1979-01,21.1,31.0
1979-02,20.8,31.2
1979-03,22.1,31.0
1979-04,22.1,31.0
1979-05,21.0,30.6
1979-06,20.8,31.9
1979-07,18.8,30.6
1979-08,21.1,31.0
1979-09,20.6,30.4
1979-10,21.0,30.8
1979-11,19.2,30.6
1979-12,19.0,30.6
1981-01,17.8,30.8
1981-02,20.4,30.4
1981-03,20.1,29.6
1981-04,21.5,30.4
1981-05,19.2,30.0
1981-06,19.6,29.8
1981-07,18.4,30.4
1981-08,19.0,30.0
1981-09,20.8,30.2
1981-10,21.0,30.7
1981-11,20.1,30.0
1981-12,20.4,30.0
1982-01,21.6,30.6
1982-02,20.1,30.8
1982-03,20.2,31.2
1982-04,19.0,30.4
1982-05,19.8,30.4
1982-06,19.6,30.4
1982-07,19.0,30.4
1982-08,21.6,30.6
1982-09,20.8,30.4
1982-10,19.4,30.2
1982-11,20.4,30.4
1982-12,21.2,30.6
1983-01,20.4,29.6
1983-02,21.0,29.2
1983-03,19.8,29.4
1983-04,20.4,29.0
1983-05,20.3,27.2
1983-06,21.2,28.4
1983-07,19.2,29.0
1983-08,21.0,29.0
1983-09,22.0,28.6
1983-10,22.9,29.2
1983-11,21.4,28.2
1983-12,21.6,28.6
1986-01,21.4,32.0
1986-02,21.0,31.0
1986-03,20.9,31.0
1986-04,20.8,31.0
1986-05,20.4,30.7
1986-06,20.1,30.4
1986-07,19.0,30.6
1986-08,19.2,30.4
1986-09,19.0,30.6
1986-10,19.0,31.0
1986-11,20.4,31.0
1986-12,20.0,30.6
1987-01,20.0,31.2
1987-02,22.0,31.6
1987-03,22.0,31.8
1987-04,21.8,31.0
1987-05,20.0,31.8
1987-06,20.8,32.0
1987-07,20.0,31.8
1987-08,20.0,31.6
1987-09,21.6,32.0
1987-10,20.6,31.6
1987-11,21.4,31.6
1987-12,21.2,31.8
1988-01,20.0,32.0
1988-02,19.6,31.7
1988-03,19.6,32.0
1988-04,21.0,32.0
1988-05,20.4,31.8
1988-06,21.0,31.8
1988-07,20.2,31.8
1988-08,19.4,32.0
1988-09,20.4,32.4
1988-10,19.8,31.9
1988-11,20.0,31.6
1988-12,20.2,31.8
1990-01,20.0,31.2
1990-02,21.0,31.4
1990-03,21.8,31.6
1990-04,21.1,31.4
1990-05,20.8,31.2
1990-06,19.5,31.0
1990-07,19.4,31.6
1990-08,19.0,31.2
1990-09,18.5,31.4
1990-10,20.4,31.0
1990-11,20.0,31.0
1990-12,21.8,31.2
1991-01,21.3,31.0
1991-02,22.0,31.2
1991-03,20.0,31.2
1991-04,21.0,31.2
1991-05,21.0,31.2
1991-06,20.2,31.0
1991-07,20.0,31.4
1991-08,20.2,31.2
1991-09,20.0,31.2
1991-10,21.9,30.8
1991-11,20.0,31.0
1991-12,20.0,30.8
1992-01,22.2,30.6
1992-02,20.0,31.0
1992-03,20.4,31.0
1992-04,19.8,31.0
1992-05,20.2,31.0
1992-06,21.0,30.4
1992-07,20.0,30.4
1992-08,19.8,30.6
1992-09,20.6,30.6
1992-10,20.1,30.6
1992-11,20.0,30.5
1992-12,20.4,30.6
1993-01,21.4,31.0
1993-02,21.0,31.0
1993-03,20.5,31.0
1993-04,20.8,31.0
1993-05,19.0,31.2
1993-06,21.0,31.0
1993-07,20.0,31.0
1993-08,21.0,30.8
1993-09,21.0,31.2
1993-10,19.8,31.0
1993-11,20.4,31.2
1993-12,22.8,31.2
1994-01,21.7,31.2
1994-02,19.9,31.6
1994-03,20.0,31.8
1994-04,20.8,31.0
1994-05,21.9,31.2
1994-06,20.0,31.4
1994-07,18.9,30.6
1994-08,20.3,31.0
1994-09,21.9,31.2
1994-10,21.1,31.3
1994-11,21.5,31.2
1994-12,22.1,31.6
1995-01,21.5,31.4
1995-02,20.1,31.8
1995-03,19.3,31.6
1995-04,21.1,31.4
1995-05,21.7,31.6
1995-06,20.9,30.6
1995-07,21.2,31.4
1995-08,19.8,31.0
1995-09,20.1,31.2
1995-10,20.9,31.2
1995-11,21.0,31.4
1995-12,20.3,31.6
1996-01,20.9,31.0
1996-02,20.4,31.4
1996-03,20.2,31.0
1996-04,21.2,31.0
1996-05,21.1,30.8
1996-06,21.0,30.6
1996-07,21.0,30.8
1996-08,20.1,31.0
1996-09,20.8,31.0
1996-10,21.0,30.8
1996-11,22.1,31.4
1996-12,22.3,31.2
1997-01,21.2,31.2
1997-02,19.8,31.8
1997-03,20.5,31.0
1997-04,21.2,31.4
1997-05,21.0,31.2
1997-06,19.9,31.2
1997-07,19.3,31.2
1997-08,18.9,31.0
1997-09,20.0,30.8
1997-10,21.4,31.0
1997-11,20.3,31.0
1997-12,21.1,31.2
1998-01,21.9,32.2
1998-02,22.2,32.4
1998-03,22.0,32.6
1998-04,22.2,32.6
1998-05,21.4,32.4
1998-06,21.0,32.6
1998-07,20.8,32.2
1998-08,20.6,32.5
1998-09,20.2,32.4
1998-10,21.6,32.0
1998-11,20.8,32.4
1998-12,21.4,32.0
1999-01,20.0,31.8
1999-02,20.4,31.2
1999-03,20.2,31.2
1999-04,20.2,31.6
1999-05,19.8,31.7
1999-06,20.4,31.4
1999-07,20.8,31.2
1999-08,20.4,31.4
1999-09,20.4,31.4
1999-10,21.4,31.0
1999-11,21.4,31.2
1999-12,21.6,31.4
2000-01,22.4,31.2
2000-02,22.4,31.6
2000-03,20.4,31.6
2000-04,20.0,31.4
2000-05,21.0,31.2
2000-06,21.4,31.2
2000-07,21.0,31.6
2000-08,20.4,31.2
2000-09,21.0,31.2
2000-10,21.4,30.6
2000-11,22.0,31.2
2000-12,20.4,31.0
2001-01,21.0,31.2
2001-02,21.4,32.0
2001-03,20.8,31.4
2001-04,21.0,31.8
2001-05,20.2,31.4
2001-06,20.6,31.6
2001-07,20.4,31.4
2001-08,20.4,31.6
2001-09,20.8,31.2
2001-10,19.2,31.2
2001-11,21.2,31.2
2001-12,20.0,31.4
2002-01,21.7,31.6
2002-02,20.0,31.4
2002-03,20.9,31.2
2002-04,20.0,31.2
2002-05,22.1,31.6
2002-06,20.5,30.6
2002-07,20.7,30.8
2002-08,20.7,31.2
2002-09,20.3,30.4
2002-10,21.5,30.6
2002-11,21.9,31.0
2002-12,20.7,31.4
2003-01,21.5,32.0
2003-02,21.5,31.4
2003-03,20.9,32.2
2003-04,21.7,31.8
2003-05,21.5,31.2
2003-06,20.0,31.0
2003-07,20.7,31.4
2003-08,19.2,31.4
2003-09,21.3,31.6
2003-10,20.9,31.4
2003-11,22.3,31.4
2003-12,21.9,31.8
2004-01,21.3,31.0
2004-02,20.3,32.0
2004-03,21.3,32.2
2004-04,21.3,31.4
2004-05,21.3,31.6
2004-06,20.5,31.0
2004-07,19.4,31.6
2004-08,19.8,30.8
2004-09,20.0,31.2
2004-10,21.4,30.8
2004-11,20.7,31.2
2004-12,20.0,31.2
2005-01,20.9,32.4
2005-02,20.5,32.4
2005-03,21.7,32.6
2005-04,20.9,32.2
2005-05,20.9,32.4
2005-06,21.3,32.4
2005-07,19.9,32.4
2005-08,20.9,32.8
2005-09,21.0,32.0
2005-10,21.5,31.8
2005-11,21.7,32.4
2005-12,20.9,32.0
2006-01,21.5,32.0
2006-02,21.3,31.6
2006-03,21.5,32.0
2006-04,21.5,32.4
2006-05,20.0,32.0
2006-06,22.3,32.2
2006-07,21.1,31.8
2006-08,20.7,32.6
2006-09,21.5,31.8
2006-10,21.7,31.6
2006-11,22.3,31.8
2006-12,22.3,31.4
2007-01,21.1,32.0
2007-02,22.7,31.8
2007-03,20.9,31.8
2007-04,21.3,31.6
2007-05,21.7,32.2
2007-06,20.5,32.0
2007-07,20.5,31.6
2007-08,20.3,31.8
2007-09,20.9,32.2
2007-10,21.1,32.4
2007-11,21.9,31.6
2007-12,21.7,31.6
2008-01,20.3,32.0
2008-02,20.8,32.2
2008-03,20.7,32.3
2008-04,20.3,32.0
2008-05,21.1,31.8
2008-06,19.2,31.8
2008-07,20.3,32.0
2008-08,19.8,31.8
2008-09,20.3,31.8
2008-10,21.3,31.6
2008-11,21.1,32.2
2008-12,20.3,31.6
2009-01,18.6,32.0
2009-02,20.5,31.9
2009-03,20.0,32.2
2009-04,21.1,31.7
2009-05,20.5,32.0
2009-06,20.7,31.6
2009-07,19.4,31.6
2009-08,18.8,32.0
2009-09,20.3,32.0
2009-10,21.5,31.4
2009-11,20.0,31.6
2009-12,20.8,31.6
2010-01,20.9,32.6
2010-02,20.5,33.0
2010-03,21.5,33.6
2010-04,21.1,32.7
2010-05,19.2,32.4
2010-06,16.4,32.4
2010-07,19.9,33.0
2010-08,15.6,32.8
2010-09,19.2,32.7
2010-10,22.4,32.2
2010-11,21.0,32.6
2010-12,22.0,32.6
2011-01,22.1,32.0
2011-02,21.7,32.4
2011-03,21.1,32.6
2011-04,20.9,32.6
2011-05,22.3,32.2
2011-06,21.3,32.2
2011-07,21.3,32.6
2011-08,20.3,32.0
2011-09,21.3,31.8
2011-10,22.2,32.2
2011-11,21.7,32.0
2011-12,22.5,31.8
2012-01,20.7,31.5
2012-02,21.6,31.5
2012-03,21.1,32.2
2012-04,20.5,32.0
2012-05,20.5,31.2
2012-06,20.3,31.4
2012-07,20.7,32.0
2012-08,20.5,32.3
2012-09,20.9,31.5
2012-10,21.3,31.4
2012-11,20.3,32.0
2012-12,21.9,31.4
2013-01,20.9,32.2
2013-02,22.7,32.2
2013-03,20.9,32.2
2013-04,21.3,32.4
2013-05,21.7,32.2
2013-06,21.7,32.0
2013-07,21.1,32.2
2013-08,21.5,32.8
2013-09,21.5,32.2
2013-10,21.7,32.2
2013-11,21.1,32.4
2013-12,20.9,32.8
2014-01,19.0,31.8
2014-02,19.5,31.8
2014-03,19.2,32.0
2014-04,19.0,32.0
2014-05,19.0,31.6
2014-06,20.0,31.4
2014-07,20.0,31.2
2014-08,19.2,31.6
2014-09,18.8,31.6
2014-10,20.5,31.6
2014-11,19.0,31.7
2014-12,19.2,31.4
2015-01,21.2,31.8
2015-02,21.8,32.4
2015-03,21.0,32.0
2015-04,21.2,32.2
2015-05,22.1,32.2
2015-06,21.2,32.0
2015-07,20.2,31.6
2015-08,20.6,31.8
2015-09,22.1,32.0
2015-10,21.6,32.0
2015-11,22.3,31.9
2015-12,21.6,31.8
2016-01,21.6,32.8
2016-02,22.1,33.0
2016-03,20.8,32.8
2016-04,21.0,32.0
2016-05,19.8,32.8
2016-06,19.8,32.4
2016-07,19.2,32.8
2016-08,19.6,32.6
2016-09,19.8,32.4
2016-10,21.0,32.8
2016-11,20.4,32.8
2016-12,19.6,32.6
2017-01,21.2,32.8
2017-02,20.6,33.3
2017-03,20.8,33.4
2017-04,20.6,32.8
2017-05,20.0,33.0
2017-06,20.6,32.4
2017-07,20.4,33.5
2017-08,20.6,33.0
2017-09,20.8,33.4
2017-10,22.1,32.8
2017-11,21.8,33.1
2017-12,21.8,33.0
2018-01,21.2,33.7
2018-02,21.4,32.6
2018-03,21.8,33.7
2018-04,20.2,32.6
2018-05,21.0,33.0
2018-06,20.6,33.2
2018-07,19.9,32.8
2018-08,21.0,32.8
2018-09,21.2,32.8
2018-10,22.1,32.8
2018-11,20.8,32.8
2018-12,21.6,32.8
2019-01,20.8,33.2
2019-02,20.6,32.6
2019-03,20.2,33.8
2019-04,20.2,33.2
2019-05,20.4,32.8
2019-06,19.8,32.6
2019-07,19.0,32.8
2019-08,19.0,32.8
2019-09,20.2,33.0
2019-10,20.0,33.0
2019-11,20.2,34.3
2019-12,20.2,33.0
